language,topic,keyword,match_type,keyword_id
Polish,PUBLIC_HEALTH,zaszczepiona,sub_word,246
Polish,PUBLIC_HEALTH,zaszczepieni,sub_word,247
Polish,PUBLIC_HEALTH,zaszczepione,sub_word,248
Polish,PUBLIC_HEALTH,szczepiąc,sub_word,249
English,CLIMATE_CHANGE,adaptation strategies,full_word,250
English,CLIMATE_CHANGE,air pollution,full_word,251
English,CLIMATE_CHANGE,biodiversity loss,full_word,252
English,CLIMATE_CHANGE,carless cities,full_word,253
English,CLIMATE_CHANGE,carbon dioxide emissions,full_word,254
English,CLIMATE_CHANGE,carbon emissions,full_word,255
English,CLIMATE_CHANGE,carbon footprint,full_word,256
English,CLIMATE_CHANGE,carbon pricing,full_word,257
English,CLIMATE_CHANGE,carbon sequestration,full_word,258
English,CLIMATE_CHANGE,chemical spill,full_word,259
English,CLIMATE_CHANGE,clean energy,full_word,260
English,CLIMATE_CHANGE,clean energy technologies,full_word,261
English,CLIMATE_CHANGE,climate activism,full_word,262
English,CLIMATE_CHANGE,climate action,full_word,263
English,CLIMATE_CHANGE,climate adaptation,full_word,264
English,CLIMATE_CHANGE,climate change adaptation,full_word,265
English,CLIMATE_CHANGE,climate change hoax,full_word,266
English,CLIMATE_CHANGE,climate crisis,full_word,267
English,CLIMATE_CHANGE,climate education,full_word,268
English,CLIMATE_CHANGE,climate finance,full_word,269
English,CLIMATE_CHANGE,climate impact on ecosystems,full_word,270
English,CLIMATE_CHANGE,climate justice,full_word,271
English,CLIMATE_CHANGE,climate mitigation,full_word,272
English,CLIMATE_CHANGE,climate modelling,full_word,273
English,CLIMATE_CHANGE,climate policy,full_word,274
English,CLIMATE_CHANGE,climate refugees,full_word,275
English,CLIMATE_CHANGE,climate resilience,full_word,276
English,CLIMATE_CHANGE,climate science,full_word,277
English,CLIMATE_CHANGE,climate variability,full_word,278
English,CLIMATE_CHANGE,copernicus,full_word,279
English,CLIMATE_CHANGE,deforestation,full_word,280
English,CLIMATE_CHANGE,droughts,full_word,281
English,CLIMATE_CHANGE,eco-friendly,full_word,282
English,CLIMATE_CHANGE,emissions,full_word,283
English,CLIMATE_CHANGE,environment,full_word,284
English,CLIMATE_CHANGE,environmental activism,full_word,285
English,CLIMATE_CHANGE,environmental disaster,full_word,286
English,CLIMATE_CHANGE,environmental impact,full_word,287
English,CLIMATE_CHANGE,environmental sustainability,full_word,288
English,CLIMATE_CHANGE,erosion control,full_word,289
English,CLIMATE_CHANGE,extreme weather,full_word,290
English,CLIMATE_CHANGE,extreme weather events,full_word,291
English,CLIMATE_CHANGE,forest fires,full_word,292
English,CLIMATE_CHANGE,fossil fuels,full_word,293
English,CLIMATE_CHANGE,friday for future,full_word,294
English,CLIMATE_CHANGE,geoengineering,full_word,295
English,CLIMATE_CHANGE,glaciers,full_word,296
English,CLIMATE_CHANGE,global temperature,full_word,297
English,CLIMATE_CHANGE,greenhouse effect,full_word,298
English,CLIMATE_CHANGE,greenhouse gases,full_word,299
English,CLIMATE_CHANGE,greta thunberg,full_word,300
English,CLIMATE_CHANGE,habitat conservation,full_word,301
English,CLIMATE_CHANGE,habitat destruction,full_word,302
English,CLIMATE_CHANGE,heatwaves,full_word,303
English,CLIMATE_CHANGE,ice melting,full_word,304
English,CLIMATE_CHANGE,marine conservation,full_word,305
English,CLIMATE_CHANGE,microplastics,full_word,306
English,CLIMATE_CHANGE,mitigation measures,full_word,307
English,CLIMATE_CHANGE,natural disasters,full_word,308
English,CLIMATE_CHANGE,net-zero emissions,full_word,309
English,CLIMATE_CHANGE,ocean acidification,full_word,310
English,CLIMATE_CHANGE,overfishing,full_word,311
English,CLIMATE_CHANGE,ozone depletion,full_word,312
English,CLIMATE_CHANGE,paris agreement,full_word,313
English,CLIMATE_CHANGE,photovoltaics,full_word,314
English,CLIMATE_CHANGE,rainforest,full_word,315
English,CLIMATE_CHANGE,recycling initiatives,full_word,316
English,CLIMATE_CHANGE,renewable energy,full_word,317
English,CLIMATE_CHANGE,sea level rise,full_word,318
English,CLIMATE_CHANGE,sustainability efforts,full_word,319
English,CLIMATE_CHANGE,sustainable development,full_word,320
English,CLIMATE_CHANGE,sustainable energy,full_word,321
English,CLIMATE_CHANGE,united nations climate change conference,full_word,322
English,CLIMATE_CHANGE,waste management,full_word,323
English,CLIMATE_CHANGE,water pollution,full_word,324
English,CLIMATE_CHANGE,water scarcity,full_word,325
English,CLIMATE_CHANGE,weather,full_word,326
English,CLIMATE_CHANGE,weather modification,full_word,327
English,CLIMATE_CHANGE,wind turbines,full_word,328
English,CLIMATE_CHANGE,wildfires,full_word,329
English,PUBLIC_HEALTH,5g,full_word,330
English,PUBLIC_HEALTH,5th gen wireless,full_word,331
English,PUBLIC_HEALTH,5th-generation wireless,full_word,332
English,PUBLIC_HEALTH,alien,full_word,333
English,PUBLIC_HEALTH,alien agenda,full_word,334
English,PUBLIC_HEALTH,alienleaks,full_word,335
English,PUBLIC_HEALTH,anthony fauci,full_word,336
English,PUBLIC_HEALTH,big pharma,full_word,337
English,PUBLIC_HEALTH,bill gates,full_word,338
English,PUBLIC_HEALTH,cdc,full_word,339
English,PUBLIC_HEALTH,chd,full_word,340
English,PUBLIC_HEALTH,covid,full_word,341
English,PUBLIC_HEALTH,covid-19,full_word,342
English,PUBLIC_HEALTH,covid vax,full_word,343
English,PUBLIC_HEALTH,covid19,full_word,344
English,PUBLIC_HEALTH,dr bryan ardis,full_word,345
English,PUBLIC_HEALTH,dna,full_word,346
English,PUBLIC_HEALTH,emergency,full_word,347
English,PUBLIC_HEALTH,fda,full_word,348
English,PUBLIC_HEALTH,george soros,full_word,349
English,PUBLIC_HEALTH,johnson & johnson,full_word,350
English,PUBLIC_HEALTH,marburg virus,full_word,351
English,PUBLIC_HEALTH,moderna,full_word,352
English,PUBLIC_HEALTH,morgellons,full_word,353
English,PUBLIC_HEALTH,pfizer,full_word,354
English,PUBLIC_HEALTH,rna,full_word,355
English,PUBLIC_HEALTH,ron watkins,full_word,356
English,PUBLIC_HEALTH,sars-cov-2,full_word,357
English,PUBLIC_HEALTH,transhuman,full_word,358
English,PUBLIC_HEALTH,transhumanism,full_word,359
English,PUBLIC_HEALTH,uap,full_word,360
English,PUBLIC_HEALTH,ufo,full_word,361
English,PUBLIC_HEALTH,ufo report,full_word,362
English,PUBLIC_HEALTH,unidentified aerial phenomena,full_word,363
English,PUBLIC_HEALTH,adrenochrome,full_word,364
English,PUBLIC_HEALTH,adverse events,full_word,365
English,PUBLIC_HEALTH,adverse reaction,full_word,366
English,PUBLIC_HEALTH,antibodies,full_word,367
English,PUBLIC_HEALTH,anti-vax,full_word,368
English,PUBLIC_HEALTH,anti-vaxx,full_word,369
English,PUBLIC_HEALTH,anti-vaxxer,full_word,370
English,PUBLIC_HEALTH,antivaxx,full_word,371
English,PUBLIC_HEALTH,antivaxxer,full_word,372
English,PUBLIC_HEALTH,antibody,full_word,373
English,PUBLIC_HEALTH,astrazeneca,full_word,374
English,PUBLIC_HEALTH,autism,full_word,375
English,PUBLIC_HEALTH,bad medicine,full_word,376
English,PUBLIC_HEALTH,bad science,full_word,377
English,PUBLIC_HEALTH,bells palsy,full_word,378
English,PUBLIC_HEALTH,big tech,full_word,379
English,PUBLIC_HEALTH,big tech censorship,full_word,380
English,PUBLIC_HEALTH,biontech,full_word,381
English,PUBLIC_HEALTH,blood,full_word,382
English,PUBLIC_HEALTH,blood clots,full_word,383
English,PUBLIC_HEALTH,blood sample,full_word,384
English,PUBLIC_HEALTH,cancer,full_word,385
English,PUBLIC_HEALTH,cancer cells,full_word,386
English,PUBLIC_HEALTH,cardiac arrest,full_word,387
English,PUBLIC_HEALTH,cardiac problem,full_word,388
English,PUBLIC_HEALTH,ccp bioweapon,full_word,389
English,PUBLIC_HEALTH,ccp virus,full_word,390
English,PUBLIC_HEALTH,chemtrails,full_word,391
English,PUBLIC_HEALTH,chemotherapy,full_word,392
English,PUBLIC_HEALTH,chemical abortion,full_word,393
English,PUBLIC_HEALTH,chemical-free,full_word,394
English,PUBLIC_HEALTH,childhood vaccine schedule,full_word,395
English,PUBLIC_HEALTH,chlorine dioxide,full_word,396
English,PUBLIC_HEALTH,chondroitin sulphate,full_word,397
English,PUBLIC_HEALTH,chronic fatigue syndrome,full_word,398
English,PUBLIC_HEALTH,cleveland clinic,full_word,399
English,PUBLIC_HEALTH,clinical trials,full_word,400
English,PUBLIC_HEALTH,clotshot,full_word,401
English,PUBLIC_HEALTH,codemonkeyz,full_word,402
English,PUBLIC_HEALTH,contact tracing,full_word,403
English,PUBLIC_HEALTH,corona,full_word,404
English,PUBLIC_HEALTH,corona virus,full_word,405
English,PUBLIC_HEALTH,coronavirus,full_word,406
English,PUBLIC_HEALTH,covid passport,full_word,407
English,PUBLIC_HEALTH,cures,full_word,408
English,PUBLIC_HEALTH,cure,full_word,409
English,PUBLIC_HEALTH,dangerous medicine,full_word,410
English,PUBLIC_HEALTH,dangerous product liability,full_word,411
English,PUBLIC_HEALTH,death,full_word,412
English,PUBLIC_HEALTH,death jab,full_word,413
English,PUBLIC_HEALTH,death rate,full_word,414
English,PUBLIC_HEALTH,death shot,full_word,415
English,PUBLIC_HEALTH,depopulation,full_word,416
English,PUBLIC_HEALTH,detox,full_word,417
English,PUBLIC_HEALTH,drugs,full_word,418
English,PUBLIC_HEALTH,electromagnetism,full_word,419
English,PUBLIC_HEALTH,epidemic,full_word,420
English,PUBLIC_HEALTH,epidemic curve,full_word,421
English,PUBLIC_HEALTH,face mask,full_word,422
English,PUBLIC_HEALTH,foetal tissue,full_word,423
English,PUBLIC_HEALTH,foetus,full_word,424
English,PUBLIC_HEALTH,foetuses,full_word,425
English,PUBLIC_HEALTH,fifth generation wireless,full_word,426
English,PUBLIC_HEALTH,fifth-gen wireless,full_word,427
English,PUBLIC_HEALTH,fifth-generation wireless,full_word,428
English,PUBLIC_HEALTH,flu,full_word,429
English,PUBLIC_HEALTH,forced vaccines,full_word,430
English,PUBLIC_HEALTH,gene therapy,full_word,431
English,PUBLIC_HEALTH,genes,full_word,432
English,PUBLIC_HEALTH,graphene,full_word,433
English,PUBLIC_HEALTH,green arrivals,full_word,434
English,PUBLIC_HEALTH,green list,full_word,435
English,PUBLIC_HEALTH,guinea pigs,full_word,436
English,PUBLIC_HEALTH,health education,full_word,437
English,PUBLIC_HEALTH,health risk,full_word,438
English,PUBLIC_HEALTH,heart attack,full_word,439
English,PUBLIC_HEALTH,herd immunity,full_word,440
English,PUBLIC_HEALTH,homeopathic,full_word,441
English,PUBLIC_HEALTH,horse paste,full_word,442
English,PUBLIC_HEALTH,incubation period,full_word,443
English,PUBLIC_HEALTH,immune system,full_word,444
English,PUBLIC_HEALTH,immunization,full_word,445
English,PUBLIC_HEALTH,infection,full_word,446
English,PUBLIC_HEALTH,injections,full_word,447
English,PUBLIC_HEALTH,inoculation,full_word,448
English,PUBLIC_HEALTH,intensive care unit,full_word,449
English,PUBLIC_HEALTH,jab,full_word,450
English,PUBLIC_HEALTH,jabgate,full_word,451
English,PUBLIC_HEALTH,janssen,full_word,452
English,PUBLIC_HEALTH,kill shot,full_word,453
English,PUBLIC_HEALTH,lateral flow test,full_word,454
English,PUBLIC_HEALTH,lethal injection,full_word,455
English,PUBLIC_HEALTH,let the bodies hit the floor,full_word,456
English,PUBLIC_HEALTH,long-covid,full_word,457
English,PUBLIC_HEALTH,malaria,full_word,458
English,PUBLIC_HEALTH,mask mandates,full_word,459
English,PUBLIC_HEALTH,masks,full_word,460
English,PUBLIC_HEALTH,masks are for slaves,full_word,461
English,PUBLIC_HEALTH,measles,full_word,462
English,PUBLIC_HEALTH,medical abortion,full_word,463
English,PUBLIC_HEALTH,medical tyranny,full_word,464
English,PUBLIC_HEALTH,medicines,full_word,465
English,PUBLIC_HEALTH,meghathakur,full_word,466
English,PUBLIC_HEALTH,millimeter wave,full_word,467
English,PUBLIC_HEALTH,mitochondria,full_word,468
English,PUBLIC_HEALTH,monkeypox,full_word,469
English,PUBLIC_HEALTH,monkey pox,full_word,470
English,PUBLIC_HEALTH,mortality,full_word,471
English,PUBLIC_HEALTH,mrna,full_word,472
English,PUBLIC_HEALTH,natural medicine,full_word,473
English,PUBLIC_HEALTH,nuremberg 2,full_word,474
English,PUBLIC_HEALTH,nuremberg 2.0,full_word,475
English,PUBLIC_HEALTH,nuremberg code,full_word,476
English,PUBLIC_HEALTH,nuremberg trials for covid,full_word,477
English,PUBLIC_HEALTH,no jab,full_word,478
English,PUBLIC_HEALTH,no kids vaccinated,full_word,479
English,PUBLIC_HEALTH,pandemic,full_word,480
English,PUBLIC_HEALTH,patient zero,full_word,481
English,PUBLIC_HEALTH,pentagon ufo report,full_word,482
English,PUBLIC_HEALTH,pharmaceutical companies,full_word,483
English,PUBLIC_HEALTH,pills,full_word,484
English,PUBLIC_HEALTH,plandemic,full_word,485
English,PUBLIC_HEALTH,political agenda,full_word,486
English,PUBLIC_HEALTH,prevention,full_word,487
English,PUBLIC_HEALTH,protein spike,full_word,488
English,PUBLIC_HEALTH,pro-safe vaccine,full_word,489
English,PUBLIC_HEALTH,prochoice,full_word,490
English,PUBLIC_HEALTH,pro-life,full_word,491
English,PUBLIC_HEALTH,prolife,full_word,492
English,PUBLIC_HEALTH,radiation,full_word,493
English,PUBLIC_HEALTH,reaction,full_word,494
English,PUBLIC_HEALTH,red arrivals,full_word,495
English,PUBLIC_HEALTH,red list,full_word,496
English,PUBLIC_HEALTH,reversal pill,full_word,497
English,PUBLIC_HEALTH,robert malone,full_word,498
English,PUBLIC_HEALTH,rochelle walensky,full_word,499
English,PUBLIC_HEALTH,roe v wade,full_word,500
English,PUBLIC_HEALTH,sanitation,full_word,501
English,PUBLIC_HEALTH,self isolation,full_word,502
English,PUBLIC_HEALTH,side effects,full_word,503
English,PUBLIC_HEALTH,snake blood,full_word,504
English,PUBLIC_HEALTH,snake venom,full_word,505
English,PUBLIC_HEALTH,south african variant,full_word,506
English,PUBLIC_HEALTH,spike,full_word,507
English,PUBLIC_HEALTH,spike protein,full_word,508
English,PUBLIC_HEALTH,stop state genocide,full_word,509
English,PUBLIC_HEALTH,study,full_word,510
English,PUBLIC_HEALTH,sudden death,full_word,511
English,PUBLIC_HEALTH,surgical face mask,full_word,512
English,PUBLIC_HEALTH,the great culling,full_word,513
English,PUBLIC_HEALTH,toxin removal,full_word,514
English,PUBLIC_HEALTH,unvax,full_word,515
English,PUBLIC_HEALTH,unvaxxed lives matter,full_word,516
English,PUBLIC_HEALTH,unvaccinated,full_word,517
English,PUBLIC_HEALTH,vaids,full_word,518
English,PUBLIC_HEALTH,vaccine adverse reporting system,full_word,519
